dt,sensor,lux,con,spl
2016-06-21 00:00:00,sensor_0,0.0,2834.03125,66.3084790577
2016-06-21 00:00:00,sensor_2,0.0,1691.99625,70.3759431913
2016-06-21 00:00:00,sensor_3,0.0,1686.44125,76.2357382632
2016-06-21 00:00:00,sensor_4,0.0,2324.65875,70.6523338747
2016-06-21 04:00:00,sensor_0,3213.5,2748.28875,81.4674363436
2016-06-21 04:00:00,sensor_2,1703.0,2550.945,72.3344504836
2016-06-21 04:00:00,sensor_3,712.5,2041.33,79.4458694591
2016-06-21 04:00:00,sensor_4,3057.75,3041.73875,81.4994221277
2016-06-21 08:00:00,sensor_0,24532.625,2720.35125,80.0205999133
2016-06-21 08:00:00,sensor_2,19257.5,3088.8275,76.3720470741
2016-06-21 08:00:00,sensor_3,2152.875,2369.7175,80.7386086616
2016-06-21 08:00:00,sensor_4,14859.0,2757.6725,77.7855652235
2016-06-21 12:00:00,sensor_0,40268.25,2443.72875,76.5258758139
2016-06-21 12:00:00,sensor_2,11213.125,2561.64625,77.5717150166
2016-06-21 12:00:00,sensor_3,6361.5,1985.25625,81.8616837594
2016-06-21 12:00:00,sensor_4,34566.5,2409.32625,73.5031354534
2016-06-21 16:00:00,sensor_0,17189.75,2717.49625,80.0205999133
2016-06-21 16:00:00,sensor_2,5939.25,2721.79125,75.6358367493
2016-06-21 16:00:00,sensor_3,4337.125,2255.3775,79.6751134061
2016-06-21 16:00:00,sensor_4,13819.375,2944.80375,74.0617969824
2016-06-21 20:00:00,sensor_0,157.75,2839.575,72.0617997398
2016-06-21 20:00:00,sensor_2,94.0,2011.69375,72.5786515757
2016-06-21 20:00:00,sensor_3,59.125,1768.385,78.1283848848
2016-06-21 20:00:00,sensor_4,190.75,1992.24,72.3947398322
2016-06-22 00:00:00,sensor_0,0.0,2451.52875,66.3084790577
2016-06-22 00:00:00,sensor_2,0.0,1588.41375,70.1269989675
2016-06-22 00:00:00,sensor_3,0.0,1907.6975,73.4843096255
2016-06-22 00:00:00,sensor_4,0.0,1999.24125,69.8044511904
2016-06-22 04:00:00,sensor_0,4075.875,2161.75,69.9176003469
2016-06-22 04:00:00,sensor_2,4251.125,2007.6925,72.0395720837
2016-06-22 04:00:00,sensor_3,816.375,2125.37125,79.4454744707
2016-06-22 04:00:00,sensor_4,4537.5,2763.72125,70.8119308229
2016-06-22 08:00:00,sensor_0,27930.75,2714.7975,77.0762972869
2016-06-22 08:00:00,sensor_2,14378.0,2652.43875,77.1846144206
2016-06-22 08:00:00,sensor_3,2226.375,3012.7775,78.9683334141
2016-06-22 08:00:00,sensor_4,20280.0,3028.1925,73.6167485623
2016-06-22 12:00:00,sensor_0,44426.625,2786.37125,88.6478751965
2016-06-22 12:00:00,sensor_2,8121.25,2528.38625,78.1364706029
2016-06-22 12:00:00,sensor_3,5074.875,3450.05375,81.4589132048
2016-06-22 12:00:00,sensor_4,33164.75,2453.33875,87.0135106985
2016-06-22 16:00:00,sensor_0,19103.125,2547.83625,80.6991223227
2016-06-22 16:00:00,sensor_2,4638.0,2516.44375,77.0970660182
2016-06-22 16:00:00,sensor_3,4209.375,2337.99625,76.497049493
2016-06-22 16:00:00,sensor_4,11140.125,2202.265,81.2225310167
2016-06-22 20:00:00,sensor_0,180.125,2470.1975,69.9176003469
2016-06-22 20:00:00,sensor_2,115.25,1657.26875,74.8602877791
2016-06-22 20:00:00,sensor_3,77.375,2010.21875,77.4954154306
2016-06-22 20:00:00,sensor_4,250.625,2024.15,71.8518928392
2016-06-23 00:00:00,sensor_0,0.0,2349.26,64.881360887
2016-06-23 00:00:00,sensor_2,0.0,1488.98375,71.5870978268
2016-06-23 00:00:00,sensor_3,0.0,1791.2875,73.9354347739
2016-06-23 00:00:00,sensor_4,0.0,1741.175,70.3216887806
2016-06-23 04:00:00,sensor_0,4068.75,2857.1825,67.5338721925
2016-06-23 04:00:00,sensor_2,2264.375,1853.7675,72.4894658013
2016-06-23 04:00:00,sensor_3,953.625,2386.17375,76.070163761
2016-06-23 04:00:00,sensor_4,4003.875,2419.2325,70.9686481243
2016-06-23 08:00:00,sensor_0,22954.25,3342.97625,72.5883785143
2016-06-23 08:00:00,sensor_2,15352.375,2683.32375,74.1982619407
2016-06-23 08:00:00,sensor_3,5075.125,2810.55625,82.1232929723
2016-06-23 08:00:00,sensor_4,27865.75,2983.7175,71.7107203978
2016-06-23 12:00:00,sensor_0,33231.375,7509.04875,76.8446598359
2016-06-23 12:00:00,sensor_2,14753.625,2405.71125,76.4531436665
2016-06-23 12:00:00,sensor_3,7879.75,2857.315,82.4158984757
2016-06-23 12:00:00,sensor_4,33577.0,8536.32875,72.262107774
2016-06-23 16:00:00,sensor_0,14234.875,2972.10125,75.0230504489
2016-06-23 16:00:00,sensor_2,4765.25,1866.3175,76.7665124508
2016-06-23 16:00:00,sensor_3,3210.125,2202.18125,80.0611809168
2016-06-23 16:00:00,sensor_4,10981.75,2921.46875,72.9042778873
2016-06-23 20:00:00,sensor_0,126.75,2769.56375,73.3228346548
2016-06-23 20:00:00,sensor_2,86.875,1505.5325,72.2035013093
2016-06-23 20:00:00,sensor_3,53.75,2264.93875,78.5820949524
2016-06-23 20:00:00,sensor_4,172.5,2503.91625,69.9802485721
2016-06-24 00:00:00,sensor_0,0.0,2883.735,63.1727569805
2016-06-24 00:00:00,sensor_2,0.0,1733.47125,71.0565524668
2016-06-24 00:00:00,sensor_3,0.0,1794.35625,70.4729733985
2016-06-24 00:00:00,sensor_4,0.0,2436.06,69.6244700474
2016-06-24 04:00:00,sensor_0,3439.625,2784.95875,72.9633672345
2016-06-24 04:00:00,sensor_2,3523.25,2491.0175,73.8232833162
2016-06-24 04:00:00,sensor_3,656.375,2163.055,78.3293047733
2016-06-24 04:00:00,sensor_4,3318.625,3159.51625,71.7113717739
2016-06-24 08:00:00,sensor_0,16731.625,2918.5975,76.686730219
2016-06-24 08:00:00,sensor_2,13909.875,2407.0975,75.0551894373
2016-06-24 08:00:00,sensor_3,1950.375,2867.7825,79.8436987211
2016-06-24 08:00:00,sensor_4,4651.75,2734.2375,74.3830291746
2016-06-24 12:00:00,sensor_0,5454.875,4268.22375,85.8490870111
2016-06-24 12:00:00,sensor_2,5473.0,2371.1425,76.7874239142
