Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,School Name,School Number,School Region,School Code,School Phone Number,School Address,School City,School State,School Zip,School Not Found,School or Citywide Complaint,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Garage Lot Name,Ferry Direction,Ferry Terminal Name,Latitude,Longitude,Location
33655882,6/21/2016 13:39,6/29/2016 16:15,DEP,Department of Environmental Protection,Noise,Noise: Alarms (NR3),,11231,39 COFFEY STREET,COFFEY STREET,DWIGHT ST,RICHARDS ST,,,ADDRESS,BROOKLYN,,N/A,Closed,,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",6/29/2016 16:15,06 BROOKLYN,BROOKLYN,980997,185046,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.67458468,-74.01172732,"(40.674584679489016, -74.0117273177029)"
33670617,6/23/2016 4:59,6/24/2016 7:00,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,11231,344 DEGRAW STREET,DEGRAW STREET,,,,,ADDRESS,BROOKLYN,,N/A,Closed,,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",6/24/2016 7:00,06 BROOKLYN,BROOKLYN,985971,188179,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.68318449,-73.99379486,"(40.68318448547265, -73.99379486119578)"
33671392,6/23/2016 20:38,6/27/2016 12:02,DEP,Department of Environmental Protection,Noise,"Noise, Barking Dog (NR5)",,11231,366 PRESIDENT STREET,PRESIDENT STREET,HOYT ST,BOND ST,,,ADDRESS,BROOKLYN,,N/A,Closed,,The Department of Environmental Protection determined that an inspection is not warranted to investigate this complaint at this time and sent a letter to the complainant and/or respondent.,6/27/2016 12:02,06 BROOKLYN,BROOKLYN,986616,186975,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.67987963,-73.99146971,"(40.67987963026161, -73.99146970897269)"
33672693,6/24/2016 1:03,6/24/2016 8:23,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11231,31 CENTRE MALL,CENTRE MALL,COLUMBIA STREET,HICKS STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,6/24/2016 9:03,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,6/24/2016 8:23,06 BROOKLYN,BROOKLYN,982352,185503,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.67583944,-74.00684257,"(40.67583943578303, -74.00684256616371)"
33673413,6/23/2016 22:17,6/23/2016 23:10,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,11231,177 COLUMBIA STREET,COLUMBIA STREET,SEDGWICK STREET,DE GRAW STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,6/24/2016 6:17,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,6/23/2016 23:10,06 BROOKLYN,BROOKLYN,983637,189212,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.68601998,-74.00221029,"(40.686019980669826, -74.00221029159218)"
33676010,6/24/2016 22:50,6/25/2016 0:25,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11231,93 BUTLER STREET,BUTLER STREET,SMITH STREET,HOYT STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,6/25/2016 6:50,The Police Department responded to the complaint and took action to fix the condition.,6/25/2016 0:25,06 BROOKLYN,BROOKLYN,986656,188421,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.68384856,-73.99132498,"(40.68384856060671, -73.99132497812231)"
33677633,6/25/2016 1:29,6/25/2016 6:08,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11231,2 PLACE,2 PLACE,COURT STREET,SMITH STREET,,,BLOCKFACE,BROOKLYN,,Precinct,Closed,6/25/2016 9:29,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,6/25/2016 6:08,06 BROOKLYN,BROOKLYN,985194,186766,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.67930624,-73.99659657,"(40.67930623849983, -73.99659656573014)"
33682199,6/24/2016 21:02,6/28/2016 21:45,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,11231,,,,,BUTLER STREET,COURT STREET,INTERSECTION,BROOKLYN,,N/A,Closed,,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",6/28/2016 21:45,06 BROOKLYN,BROOKLYN,985754,188877,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.68510038,-73.99457711,"(40.68510037572238, -73.99457710813682)"
33683843,6/24/2016 14:53,6/24/2016 17:55,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11231,80 DWIGHT STREET,DWIGHT STREET,VERONA STREET,BUSH STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,6/24/2016 22:53,The Police Department responded to the complaint and took action to fix the condition.,6/24/2016 17:55,06 BROOKLYN,BROOKLYN,981804,185640,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.67621534,-74.00881824,"(40.676215335436034, -74.00881823560762)"
33684418,6/25/2016 10:07,7/2/2016 13:15,DEP,Department of Environmental Protection,Noise,Noise: Jack Hammering (NC2),,11231,542 CLINTON STREET,CLINTON STREET,LUQUER ST,NELSON ST,,,ADDRESS,BROOKLYN,,N/A,Closed,,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",7/2/2016 13:15,06 BROOKLYN,BROOKLYN,984109,186106,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.67749474,-74.00050834,"(40.67749473704423, -74.00050833813232)"
